Unnamed: 0,match_id,date,match_type,event_name,innings,batting_team,bowling_team,over,ball,ball_no,batter,bat_pos,runs_batter,balls_faced,bowler,valid_ball,runs_extras,runs_total,runs_bowler,runs_not_boundary,extra_type,non_striker,non_striker_pos,wicket_kind,player_out,fielders,runs_target,review_batter,team_reviewed,review_decision,umpire,umpires_call,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,gender,team_type,superover_winner,result_type,method,balls_per_over,overs,event_match_no,stage,match_number,team_runs,team_balls,team_wicket,new_batter,power_surge_start,batter_runs,batter_balls,bowler_wicket,batting_partners,next_batter,striker_out
141681,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,1,12.1,RT Ponting,3,0,1,JH Kallis,1,0,0,0,False,,BB McCullum,2,caught,RT Ponting,P Kumar,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,112,73,2,,,20,20,1,"('BB McCullum', 'RT Ponting')",DJ Hussey,True
141682,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,2,12.2,BB McCullum,2,4,1,JH Kallis,1,0,4,4,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,116,74,2,DJ Hussey,,72,42,0,"('BB McCullum', 'DJ Hussey')",,False
141683,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,3,12.3,BB McCullum,2,0,1,JH Kallis,1,0,0,0,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,116,75,2,,,72,43,0,"('BB McCullum', 'DJ Hussey')",,False
141684,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,4,12.4,BB McCullum,2,2,1,JH Kallis,1,0,2,2,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,118,76,2,,,74,44,0,"('BB McCullum', 'DJ Hussey')",,False
141685,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,5,12.5,BB McCullum,2,0,0,JH Kallis,0,1,1,1,False,wides,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,119,76,2,,,74,44,0,"('BB McCullum', 'DJ Hussey')",,False
141686,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,5,12.5,BB McCullum,2,4,1,JH Kallis,1,0,4,4,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,123,77,2,,,78,45,0,"('BB McCullum', 'DJ Hussey')",,False
141687,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,6,12.6,BB McCullum,2,1,1,JH Kallis,1,0,1,1,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,124,78,2,,,79,46,0,"('BB McCullum', 'DJ Hussey')",,False
141688,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,13,1,13.1,BB McCullum,2,1,1,SB Joshi,1,0,1,1,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,125,79,2,,,80,47,0,"('BB McCullum', 'DJ Hussey')",,False
141689,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,13,2,13.2,DJ Hussey,4,0,1,SB Joshi,1,0,0,0,False,,BB McCullum,2,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,125,80,2,,,0,1,0,"('BB McCullum', 'DJ Hussey')",,False
141690,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,13,3,13.3,DJ Hussey,4,1,1,SB Joshi,1,0,1,1,False,,BB McCullum,2,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,126,81,2,,,1,2,0,"('BB McCullum', 'DJ Hussey')",,False
141691,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,13,4,13.4,BB McCullum,2,1,1,SB Joshi,1,0,1,1,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,127,82,2,,,81,48,0,"('BB McCullum', 'DJ Hussey')",,False
141692,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,13,5,13.5,DJ Hussey,4,1,1,SB Joshi,1,0,1,1,False,,BB McCullum,2,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,128,83,2,,,2,3,0,"('BB McCullum', 'DJ Hussey')",,False
141693,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,13,6,13.6,BB McCullum,2,2,1,SB Joshi,1,0,2,2,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,130,84,2,,,83,49,0,"('BB McCullum', 'DJ Hussey')",,False
141694,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,14,1,14.1,DJ Hussey,4,4,1,CL White,1,0,4,4,False,,BB McCullum,2,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,134,85,2,,,6,4,0,"('BB McCullum', 'DJ Hussey')",,False
141695,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,14,2,14.2,DJ Hussey,4,1,1,CL White,1,0,1,1,False,,BB McCullum,2,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,135,86,2,,,7,5,0,"('BB McCullum', 'DJ Hussey')",,False
141696,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,14,3,14.3,BB McCullum,2,6,1,CL White,1,0,6,6,False,,DJ Hussey,4,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,141,87,2,,,89,50,0,"('BB McCullum', 'DJ Hussey')",,False
