match_id,team1_id,team2_id
598013,1,11
598014,4,5
598015,10,3
598016,4,1
598017,6,2
598018,11,10
598019,5,7
598020,3,6
598021,4,11
598022,1,3
598023,5,2
598024,7,6
598025,10,4
598026,5,3
598027,2,10
598028,4,6
598029,1,7
598030,11,3
598031,4,1
598032,11,5
598033,7,2
598034,3,1
598035,6,10
598036,2,5
598037,7,4
598038,3,10
598039,7,11
598040,1,6
598041,3,4
598042,2,10
598043,5,1
598044,6,11
598045,2,4
598046,7,3
598047,10,5
598048,11,2
598049,6,5
598050,7,1
598051,3,11
598052,4,5
598053,1,10
598054,2,6
598055,10,7
598056,11,4
598057,2,1
598058,3,5
598059,6,4
598060,11,7
598061,10,1
598062,3,6
598063,7,5
598064,2,4
598065,11,5
598066,4,7
598067,10,6
598068,2,3
598069,1,11
598070,3,7
598071,11,5
598072,5,7
598073,7,3
729279,1,7
729281,6,2
729283,3,4
729285,11,5
729287,7,2
729289,1,6
729291,5,4
729293,3,6
729295,4,11
729297,3,5
729299,1,2
729301,11,6
729303,7,3
729305,2,5
729307,4,1
729309,7,6
729311,11,3
729313,2,4
729315,5,1
729317,11,7
733971,3,1
733973,4,7
733975,6,5
733977,11,2
733979,5,1
733981,6,3
733983,7,2
733985,6,1
733987,4,3
733989,11,5
733991,4,2
733993,6,11
733995,7,3
733997,4,1
733999,2,5
734001,11,7
734003,5,3
734005,2,6
734007,11,4
734009,7,1
734011,5,6
734013,3,2
734015,11,1
734017,7,5
734019,6,4
734021,2,11
734023,3,1
734025,4,7
734027,1,2
734029,3,11
734031,7,6
734033,4,5
734035,2,3
734037,11,1
734039,6,4
734041,5,7
734043,1,4
734045,7,3
734047,4,3
734049,4,1
829705,7,1
829707,3,6
829709,5,4
829711,3,11
829713,1,2
829715,6,5
829717,4,7
829719,2,11
829721,7,5
829723,3,1
829725,4,6
829727,11,5
829729,7,3
829731,6,11
829733,4,1
829735,3,5
829737,7,2
829739,6,1
829741,5,4
829743,11,1
829745,3,2
829747,6,7
829749,5,2
829751,7,11
829753,3,4
829757,6,2
829759,11,4
829761,1,6
829763,2,5
829765,3,1
829767,4,6
829769,7,5
829771,1,2
829773,11,3
829775,7,4
829777,5,6
829779,3,2
829781,1,11
829783,6,7
829785,2,4
829787,11,5
829789,3,7
829791,4,1
829793,11,6
829795,2,7
829797,3,5
829799,11,4
829801,3,6
829803,4,2
829805,7,1
829807,11,2
829809,4,3
829811,5,1
829813,6,2
829815,11,7
829817,7,3
829819,2,5
829821,2,3
829823,7,3
980901,7,12
980903,6,1
980905,4,13
980907,2,11
980909,1,7
980911,12,13
980913,4,6
980915,11,1
980917,7,13
980919,12,4
980921,2,6
980923,7,11
980925,4,1
980927,2,7
980929,13,11
980931,2,12
980933,6,7
980935,4,11
980937,2,13
980939,12,1
980941,7,4
980943,11,12
980945,13,6
980947,1,7
980949,12,13
980951,6,1
980953,11,2
980955,4,13
980957,12,7
980959,2,1
980961,13,6
980963,1,4
980965,6,12
980967,13,11
980969,12,2
980971,4,6
980973,11,7
980975,1,13
980977,2,4
980979,11,12
980981,2,7
980983,11,6
980985,7,4
980987,2,13
980989,12,1
980991,4,11
980993,7,6
980995,1,2
980997,6,12
980999,2,4
981001,1,13
981003,11,6
981005,4,12
981007,7,13
981009,1,11
981011,6,2
981013,13,2
981015,11,1
981017,13,11
981019,11,2
1082591,11,2
1082592,7,14
1082593,13,1
1082594,14,4
1082595,2,6
1082596,13,11
1082597,1,7
1082598,2,4
1082599,6,14
1082600,11,7
1082601,4,1
1082602,2,7
1082603,14,13
1082604,1,11
1082605,6,4
1082606,13,7
1082607,14,2
1082608,6,1
1082609,11,4
1082610,2,13
1082611,11,6
1082612,4,7
1082613,1,13
1082614,7,6
1082615,11,14
1082616,4,13
1082617,1,2
1082618,14,7
1082620,14,1
1082621,2,13
1082622,6,1
1082623,11,4
1082624,14,2
1082625,13,7
1082626,6,4
1082627,11,1
1082628,2,7
1082629,13,14
1082630,11,6
1082631,1,14
1082632,13,6
1082633,4,2
1082634,14,11
1082635,7,6
1082636,2,1
1082637,4,13
1082638,7,11
1082639,4,1
1082640,13,6
1082641,4,7
1082642,6,14
1082643,13,11
1082644,7,1
1082645,4,14
1082646,2,6
1082647,14,7
1082648,11,1
1082649,1,7
1082650,7,14
1136561,7,3
1136562,6,4
1136563,2,1
1136564,5,11
1136565,1,3
1136566,5,6
1136567,7,11
1136568,4,2
1136569,7,6
1136570,1,11
1136571,5,2
1136572,4,3
1136573,1,6
1136574,7,2
1136575,5,1
1136576,4,11
1136577,3,5
1136578,1,4
1136579,6,2
1136580,3,11
1136581,7,5
1136582,4,6
1136583,11,7
1136584,2,3
1136585,11,4
1136586,6,1
1136587,3,7
1136588,11,5
1136589,2,1
1136590,3,6
1136591,2,7
1136592,6,5
1136593,3,1
1136594,4,7
1136595,2,3
1136596,6,11
1136597,7,1
1136598,5,4
1136599,11,2
1136600,5,4
1136601,7,1
1136602,6,11
1136603,3,5
1136604,1,4
1136605,6,2
1136606,11,3
1136607,7,5
1136608,4,2
1136609,5,1
1136610,7,4
1136611,2,11
1136612,6,3
1136613,5,2
1136614,11,1
1136615,6,7
1136616,4,3
1136617,11,3
1136618,1,5
1136619,11,1
1136620,11,3
1175356,2,3
1175357,11,1
1175358,15,7
1175359,4,5
1175360,15,3
1175361,1,4
1175362,7,2
1175363,5,11
1175364,7,4
1175365,1,15
1175366,11,2
1175367,3,5
1175368,4,15
1175369,2,5
1175370,7,3
1175371,15,11
1175372,2,1
1178393,3,4
1178394,7,11
1178395,2,15
1178396,5,1
1178397,11,4
1178398,1,3
1178399,4,7
1178400,5,3
1178401,1,15
1178402,7,5
1178403,4,2
1178404,1,3
1178405,15,11
1178406,2,7
1178407,4,5
1178408,3,11
1178409,7,15
1178410,2,1
1178411,7,5
1178412,4,15
1178413,1,11
1178414,2,3
1178415,5,15
1178416,11,3
1178417,2,4
1178418,1,5
1178419,7,3
1178420,11,5
1178421,15,2
1178422,1,7
1178423,11,4
1178424,2,5
1178425,3,15
1178426,7,11
1178427,4,1
1178428,5,15
1178429,11,2
1178430,3,4
1178431,1,7
1181764,3,7
1181766,11,15
1181767,15,3
1181768,7,3
1216492,7,3
1216493,15,4
1216494,1,2
1216495,7,11
1216496,5,3
1216497,1,15
1216498,4,11
1216499,2,7
1216500,15,5
1216501,1,3
1216502,2,11
1216503,7,4
1216504,1,5
1216505,2,15
1216506,4,3
1216507,11,5
1216508,7,1
1216509,3,15
1216510,4,2
1216511,7,5
1216512,1,11
1216513,4,3
1216514,5,2
1216515,15,1
1216516,11,3
1216517,7,4
1216518,5,11
1216519,15,2
1216520,1,4
1216521,3,7
1216522,5,2
1216523,1,4
1216524,11,15
1216525,2,3
1216526,1,7
1216527,4,5
1216528,3,11
1216529,15,7
1216530,1,5
1216531,2,4
1216532,11,15
1216533,3,5
1216534,2,11
1216535,15,7
1216536,1,3
1216537,4,5
1216538,7,11
1216539,15,3
1216540,2,1
1216541,7,5
1216542,11,4
1216543,15,5
1216544,2,3
1216545,11,1
1216546,15,4
1216547,2,7
1237177,7,15
1237178,2,11
1237180,15,11
1237181,15,7
1254058,7,2
1254059,3,15
1254060,1,11
