match_id,toss_winner_id,toss_decision
1359478,11,field
1359479,2,field
1359480,17,field
1359481,18,field
1359482,5,field
1359483,2,field
1359484,11,bat
1359485,15,field
1359486,3,field
1359487,18,bat
1359488,11,field
1359489,17,field
1359490,7,field
1359491,3,field
1359492,18,field
1359493,1,field
1359494,15,field
1359495,16,field
1359496,7,field
1359497,5,field
1359498,2,field
1359499,11,field
1359500,5,field
1359501,16,field
1359502,15,field
1359503,3,field
1359504,18,bat
1359505,7,field
1359506,5,field
1359507,1,field
1359508,15,bat
1359509,7,field
1359510,2,field
1359511,5,bat
1359512,16,field
1359513,18,field
1359514,11,bat
1359515,3,bat
1359516,5,bat
1359517,2,bat
1359518,15,bat
1359519,3,field
1359520,7,field
1359521,1,bat
1359522,5,bat
1359523,3,field
1359524,2,bat
1359525,17,field
1359526,5,bat
1359527,16,bat
1359528,7,field
1359529,3,bat
1359530,5,field
1359531,18,field
1359532,11,bat
1359533,15,field
1359534,2,bat
1359535,3,bat
1359536,11,field
1359537,7,field
1359538,16,field
1359539,2,field
1359540,5,field
1359541,3,bat
1359542,1,field
1359543,7,field
1359544,18,field
1370350,18,field
1370351,7,bat
1370352,7,field
1370353,3,field
1422119,19,bat
1422120,16,field
1422121,11,field
1422122,5,bat
1422123,7,field
1422124,19,field
1422125,18,field
1422126,7,field
1422127,15,field
1422128,1,field
1422129,17,bat
1422130,11,bat
1422131,15,bat
1422132,5,field
1422133,19,field
1422134,1,bat
1422135,16,field
1422136,11,field
1422137,5,field
1422138,15,field
1422139,17,bat
1426260,3,field
1426261,16,field
1426262,18,field
1426263,7,field
1426264,17,bat
1426265,5,field
1426266,1,field
1426267,7,field
1426268,19,field
1426269,5,field
1426270,15,field
1426271,16,field
1426272,17,field
1426273,15,field
1426274,19,field
1426275,16,bat
1426276,7,bat
1426277,17,field
1426278,18,field
1426279,19,bat
1426280,16,field
1426281,7,field
1426282,5,field
1426283,19,field
1426284,11,field
1426285,15,bat
